_sa_instance_state, nudge_id, primary, timestamp_nudges, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f0732b0>","1","485/label1/2022-10-12 14:02:52.477307","2022-10-12 14:02:52.492083","485",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073340>","3","485/label3/2022-10-12 14:03:20.688116","2022-10-12 14:03:20.693656","485",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f0733d0>","1","577/label1/2022-10-12 14:03:56.666858","2022-10-12 14:03:56.671359","577",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073490>","4","577/label4/2022-10-12 14:06:07.755733","2022-10-12 14:06:07.778087","577",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073550>","3","577/label3/2022-10-12 14:09:26.367406","2022-10-12 14:09:26.388763","577",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073610>","2","577/label2/2022-10-12 14:10:24.658512","2022-10-12 14:10:24.665274","577",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f0736d0>","4","578/label4/2022-10-12 14:12:41.758243","2022-10-12 14:12:41.765929","578",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073790>","1","482/label1/2022-10-12 14:12:57.972242","2022-10-12 14:12:57.976556","482",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073850>","2","482/label2/2022-10-12 14:17:05.775570","2022-10-12 14:17:05.786020","482",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073910>","3","876/label3/2022-10-12 14:27:14.210555","2022-10-12 14:27:14.221480","876",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f0739d0>","1","907/label1/2022-10-12 14:28:26.011458","2022-10-12 14:28:26.021960","907",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073a90>","3","951/label3/2022-10-12 15:51:41.588395","2022-10-12 15:51:41.600537","951",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073b50>","3","952/label3/2022-10-12 16:00:11.551682","2022-10-12 16:00:11.564250","952",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073c10>","2","953/label2/2022-10-12 16:01:35.702939","2022-10-12 16:01:35.706776","953",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073cd0>","4","953/label4/2022-10-12 16:22:15.544720","2022-10-12 16:22:15.555971","953",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073d90>","3","377/label3/2022-10-12 16:26:44.583856","2022-10-12 16:26:44.595073","377",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073e50>","2","960/label2/2022-10-12 16:30:25.486872","2022-10-12 16:30:25.509538","960",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073f10>","3","953/label3/2022-10-12 16:30:33.375797","2022-10-12 16:30:33.379626","953",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f073fd0>","3","954/label3/2022-10-12 16:31:45.502634","2022-10-12 16:31:45.514463","954",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f0780d0>","3","955/label3/2022-10-12 16:39:56.446954","2022-10-12 16:39:56.453490","955",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078190>","2","956/label2/2022-10-12 16:43:33.047975","2022-10-12 16:43:33.059290","956",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078250>","4","956/label4/2022-10-12 16:48:41.749972","2022-10-12 16:48:41.759333","956",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078310>","1","956/label1/2022-10-12 16:50:14.129027","2022-10-12 16:50:14.139488","956",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f0783d0>","4","957/label4/2022-10-12 16:52:33.977223","2022-10-12 16:52:33.983934","957",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078490>","3","958/label3/2022-10-12 16:53:28.483736","2022-10-12 16:53:28.492455","958",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078550>","1","959/label1/2022-10-12 16:54:22.628850","2022-10-12 16:54:22.637201","959",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078610>","3","960/label3/2022-10-12 17:13:27.051595","2022-10-12 17:13:27.061731","960",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f0786d0>","4","960/label4/2022-10-12 17:13:32.004587","2022-10-12 17:13:32.015111","960",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078790>","1","960/label1/2022-10-12 17:14:50.517172","2022-10-12 17:14:50.531376","960",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078850>","4","961/label4/2022-10-12 17:15:06.599256","2022-10-12 17:15:06.604574","961",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078910>","1","961/label1/2022-10-12 17:15:10.604738","2022-10-12 17:15:10.616480","961",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f0789d0>","2","962/label2/2022-10-12 17:26:18.723736","2022-10-12 17:26:18.736134","962",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078a90>","1","962/label1/2022-10-12 17:26:23.076609","2022-10-12 17:26:23.081889","962",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078b50>","3","962/label3/2022-10-12 17:26:28.066103","2022-10-12 17:26:28.076767","962",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078c10>","4","962/label4/2022-10-12 17:26:34.071515","2022-10-12 17:26:34.084108","962",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078cd0>","2","963/label2/2022-10-12 17:27:43.601937","2022-10-12 17:27:43.607368","963",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078d90>","4","963/label4/2022-10-12 17:29:08.862711","2022-10-12 17:29:08.869673","963",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078e50>","1","963/label1/2022-10-12 17:29:13.500557","2022-10-12 17:29:13.513945","963",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078f10>","3","963/label3/2022-10-12 17:29:18.270484","2022-10-12 17:29:18.280762","963",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f078fd0>","1","432/label1/2022-10-12 17:31:45.013532","2022-10-12 17:31:45.039374","432",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c0d0>","2","432/label2/2022-10-12 17:31:51.662692","2022-10-12 17:31:51.680642","432",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c190>","3","432/label3/2022-10-12 17:31:58.384054","2022-10-12 17:31:58.391033","432",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c250>","4","432/label4/2022-10-12 17:32:06.746923","2022-10-12 17:32:06.759246","432",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c310>","3","28062/label3/2022-10-12 17:36:31.466178","2022-10-12 17:36:31.479905","28062",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c3d0>","1","28062/label1/2022-10-12 17:36:40.965247","2022-10-12 17:36:40.973831","28062",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c490>","2","28062/label2/2022-10-12 17:36:49.095207","2022-10-12 17:36:49.103244","28062",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c550>","4","28062/label4/2022-10-12 17:36:56.087346","2022-10-12 17:36:56.094712","28062",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c610>","2","94581/label2/2022-10-12 17:57:45.110386","2022-10-12 17:57:45.130248","94581",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c6d0>","1","94581/label1/2022-10-12 17:58:20.098090","2022-10-12 17:58:20.114719","94581",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c790>","3","94581/label3/2022-10-12 17:58:26.888722","2022-10-12 17:58:26.903761","94581",
"<sqlalchemy.orm.state.InstanceState object at 0x7f993f07c850>","4","94581/label4/2022-10-12 17:58:33.321888","2022-10-12 17:58:33.343596","94581",

